akc_id	name	description	assessments	assays
AKC:a272f871-eebd-48a0-afdc-5b6f103a0407	dataset 1 about assay 3480642	dataset 1 is about assay 3480642	[]	['AKC:66f6ebac-42bb-42a5-9b0c-c275f6ac0356']
AKC:05233290-9501-4876-b388-fabccb75e481	dataset 1 about assay 3480639	dataset 1 is about assay 3480639	[]	['AKC:ce8a6b15-4c94-41d6-b784-66880d96facb']
AKC:730c5d03-0137-41a9-bdd9-9087056bc648	dataset 1 about assay 3480641	dataset 1 is about assay 3480641	[]	['AKC:8c29f051-12e8-40c4-b1de-7c8ac1df1510']
AKC:8f9394d6-711a-42fc-b271-22b01d708aec	dataset 1 about assay 3480644	dataset 1 is about assay 3480644	[]	['AKC:9823479e-7471-47ad-a5ba-dfc3210cff9b']
AKC:89c66f58-e8c3-4dfb-a447-892481efc1dd	dataset 1 about assay 3480640	dataset 1 is about assay 3480640	[]	['AKC:3027e6cb-36e1-4f32-b5f6-d01cf4c6aad3']
AKC:619f64e6-88f1-460a-9d0f-b780f1c7d9f8	dataset 1 about assay 3480643	dataset 1 is about assay 3480643	[]	['AKC:672041fd-b9ad-472d-95d7-cfbe82fea9a1']
AKC:5fe0a19e-3c06-4dcf-8adf-7b31257e5b2f	dataset 1 about assay 3480645	dataset 1 is about assay 3480645	[]	['AKC:d0c7ffb1-c689-45e4-8373-e90a0b19e6cf']
AKC:b61b7235-b5df-4bb6-8ce3-939058cd5ff5	dataset 1 about assay 3480646	dataset 1 is about assay 3480646	[]	['AKC:0b6baae3-4501-4f27-83c0-8284e1c7ea09']
AKC:5245b943-8764-42c1-9b4c-ea91c60d37de	dataset 1 about assay 3480647	dataset 1 is about assay 3480647	[]	['AKC:f37eb186-3ef6-4795-89a4-45fbdf1510d1']
AKC:8ccf2455-c63d-49a3-ac02-b5389e7a3f5e	dataset 1 about assay 3480649	dataset 1 is about assay 3480649	[]	['AKC:914ddeff-9837-4968-9b75-abf46ec4dcd3']
AKC:7a1ed623-a83f-415e-822d-0f46223654d9	dataset 1 about assay 3480650	dataset 1 is about assay 3480650	[]	['AKC:db8bec0f-c526-4e59-831b-1d180bd67b00']
AKC:7a915ef7-ab8f-4c01-913c-f8c8d8661a67	dataset 1 about assay 3480651	dataset 1 is about assay 3480651	[]	['AKC:2381cbac-42ea-4e85-aba4-3b6a99713ab2']
AKC:59becd4c-4101-443f-a639-96af46e6c690	dataset 1 about assay 3480655	dataset 1 is about assay 3480655	[]	['AKC:889135c6-f89c-4580-ab52-5564afa5159e']
AKC:54061c55-544c-476d-8bce-2405866759d7	dataset 1 about assay 3480656	dataset 1 is about assay 3480656	[]	['AKC:8c976136-cf07-418f-90f9-524f53d3a230']
AKC:c14a024f-049f-4877-b3b6-f72d7153153c	dataset 1 about assay 3480658	dataset 1 is about assay 3480658	[]	['AKC:54f11753-73b5-4423-9459-7cc8f3627842']
AKC:061f0425-bf06-4ecd-be6b-65760fbdce19	dataset 1 about assay 3480659	dataset 1 is about assay 3480659	[]	['AKC:ed716544-840a-4715-85ee-56f2f8003949']
AKC:43e15fea-a46d-4c69-ac28-e4df933137d7	dataset 1 about assay 3480660	dataset 1 is about assay 3480660	[]	['AKC:5808245f-d4f3-4a52-861d-c104a50c919b']
AKC:6f5f28f3-40ca-402e-b9ca-508ec973db8e	dataset 1 about assay 3480661	dataset 1 is about assay 3480661	[]	['AKC:49630f65-ab51-454b-a88a-96ad6b517668']
AKC:112a8e6f-b877-426c-861a-ab069df03fda	dataset 1 about assay 3480662	dataset 1 is about assay 3480662	[]	['AKC:0cb63051-78af-41d8-8f45-093e9e466f1e']
AKC:a8ef872c-4d8d-43f2-8d81-cbb5f1062908	dataset 1 about assay 3480663	dataset 1 is about assay 3480663	[]	['AKC:9a9595c2-82d1-4171-8ad5-cd89910ba35b']
AKC:a7b18137-206e-45f2-9d04-4d59302c089b	dataset 1 about assay 3480664	dataset 1 is about assay 3480664	[]	['AKC:6d0a48f9-abde-4eef-af6e-d0f260d25e00']
