akc_id	name	description	investigation
AKC:df8f3b3f-1cfe-438e-b90a-4dbc2af5cdcb	arm 1 of 3480642	study arm for assay 3480642	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:bda606cb-d5c4-4776-b67e-767f70dd7638	arm 1 of 3480639	study arm for assay 3480639	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:8b718380-ab2c-4979-8894-b9f3143f6579	arm 1 of 3480641	study arm for assay 3480641	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:4b4fc680-9ce0-41cf-937b-80c332799620	arm 1 of 3480644	study arm for assay 3480644	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:b280e7ab-801b-44ad-86e5-f93a52ad4bfb	arm 1 of 3480640	study arm for assay 3480640	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:873d9f52-f93c-494f-91b2-a611acbf8fdb	arm 1 of 3480643	study arm for assay 3480643	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:47d3a95a-d258-42c2-adaa-8332c1db964a	arm 1 of 3480645	study arm for assay 3480645	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:650a29af-df20-483c-bb09-498a9394923d	arm 1 of 3480646	study arm for assay 3480646	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:175a1a7f-46a3-4c89-9558-99888aff69d0	arm 1 of 3480647	study arm for assay 3480647	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:6c36ef49-7d9b-4a0a-b176-863a62e79558	arm 1 of 3480649	study arm for assay 3480649	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:c4074153-89f6-4a62-b0d1-32ee583fd58f	arm 1 of 3480650	study arm for assay 3480650	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:406b8ec1-dcdc-412d-b66f-e45bd4a7b1d6	arm 1 of 3480651	study arm for assay 3480651	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:c75d2e66-08e6-4688-804e-6d91f21fcca5	arm 1 of 3480655	study arm for assay 3480655	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:14e30d5c-36a1-4fc4-af93-1570245c03a9	arm 1 of 3480656	study arm for assay 3480656	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:423f5519-3188-49d8-a925-16f3454881f0	arm 1 of 3480658	study arm for assay 3480658	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:7a0d6fe2-c0ea-4b10-99b0-e060ae275a8c	arm 1 of 3480659	study arm for assay 3480659	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:d1a594e8-a385-4654-913e-f6129298a5cd	arm 1 of 3480660	study arm for assay 3480660	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:2f7be1d2-b238-4d4b-80d8-5aab08841763	arm 1 of 3480661	study arm for assay 3480661	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:bbf534e5-22fd-4327-8b38-381fd7dc45a5	arm 1 of 3480662	study arm for assay 3480662	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:040dd22f-9d9d-460c-8e9c-e9e19227c17f	arm 1 of 3480663	study arm for assay 3480663	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
AKC:c4c1cfbd-1ef6-44f7-a2f9-3478bc688b39	arm 1 of 3480664	study arm for assay 3480664	AKC:47ee7930-3ffd-41de-9b1e-bc4854f19589
