akc_id	name	description	study_arms
AKC:f955b986-e723-4675-8e52-06f6df4f712a			['AKC:6d9f992b-5072-42e9-a2cb-e9d8962d30f3']
AKC:72b88c61-f2a8-43fd-b803-b50b99907f5f			['AKC:15591862-77be-4b5c-bf51-1f3948c41470']
AKC:3220e883-3721-41e5-aab2-d214bd7371b1			['AKC:98f218aa-088a-44da-bc1f-22ed8dca872f']
AKC:7876d2e8-539b-4bd4-8b03-b45ca52de888			['AKC:8e9f6c12-1d79-4061-ba03-68eefbccdec2']
AKC:fc9eba28-ba60-451b-8255-140c6bbff892			['AKC:3b275071-e97c-45f1-ac62-7ae782e77b55']
AKC:3abe5c22-740f-4373-9eb1-a3b6b90a12c5			['AKC:77d1babb-c26e-4e28-859a-506781dd9866']
AKC:d1d647b8-80b5-4868-b3da-f66cd94d30ad			['AKC:2f3763f7-e5ed-4dcf-9d67-66a8c8856dac']
AKC:4eb51393-6419-4a49-9f1b-d83aebe8684d			['AKC:94c25fff-b9fb-4c94-9aea-ee571c8dd67e']
AKC:0addef9a-4a12-4f2d-8800-c6758f8e06bc			['AKC:090408d4-0176-405d-9271-9bb3a364315a']
AKC:7da2f763-2212-496f-aa4f-9b59c38d951a			['AKC:585ccf79-4741-4afc-92d0-d704b27eb94a']
AKC:05f9ccfa-566c-4cd1-bbe7-c821e4a7bd41			['AKC:200ea596-74eb-41ed-9ab9-acc6235f6893']
AKC:8ad8cb3f-d67c-43e7-8c24-7f1637faadeb			['AKC:ab5185bd-53d5-42b9-b8c8-896e2e6e7b9d']
AKC:ef7391c5-b29b-4fc9-9ec1-2b3450a2874a			['AKC:111555ee-c613-465b-bfbc-efe75d0bb710']
AKC:ad6c39fa-447b-471f-a30b-b91131e37140			['AKC:77faa8db-a728-4caf-ab7b-87e7fb5977fd']
AKC:797b9740-3c7e-42a7-92b0-c2a4a382c09d			['AKC:d3428463-4dc8-4376-9284-aab36f67fdda']
AKC:55d0c66a-6753-48ae-80a0-1d8c3bee2a71			['AKC:e73d971d-366f-4b4a-a9e9-bb0e2740698e']
AKC:f30a5d88-8bba-45cf-9c8d-49e2c436a624			['AKC:45a981f6-7aea-4102-b3a6-ae6d16dcffd9']
AKC:ecfd4e67-6030-4e72-8d05-b42f1c99dc6e			['AKC:c874830d-fa53-4e3a-a77d-ddfb20d82095']
AKC:d8805b5e-0bb5-455f-88c3-11618c0e2ee2			['AKC:3207c197-cd64-4a38-9637-6585f2dec9f3']
AKC:6460c47c-e7bb-42ae-b0a2-42b963869ea2			['AKC:819984f5-0207-494e-b594-b389c143cb02']
AKC:d1914c84-4321-4a25-bf44-c634554e4822			['AKC:3928b699-2fac-4cad-9ddd-5179133242fa']
