immunespace_id	id_type	akc_id
SDY2107.SUB275619	participant	c41ad955-a572-4940-9649-bd884b073a85
ARM6832	arm	4aa7b1d0-e133-41a8-bcf2-408b83d73f2d
SDY2107.SUB209353	participant	3e84a4d7-cea2-4180-b56b-47bd4e568ad7
SDY2107.SUB275616	participant	fc15e9db-ab9c-45c4-9d0f-875ebcd7b229
SDY2107.SUB234076	participant	385426de-69fa-460f-b596-b365da6c95c0
SDY2107.SUB275617	participant	1b04dcfa-e30e-4783-b041-46ee4f82a40b
SDY2107.SUB275618	participant	2cf1f18f-67fe-40c9-9163-bfa2a3ef8f82
SDY2107.SUB275620	participant	10a76c11-4412-40ac-8866-ee319e793288
SDY2107	investigation	b93e9486-473c-4115-b3a7-f0ea1c50d0be
PV11666	planned_event	07b88a87-8502-44d1-bd4c-9d72738931c9
SDY2107.SUB209353.PV11666	event	c69dcbfa-007d-4af1-b4ae-74457a64080e
SDY2107.SUB234076.PV11666	event	a2379bfb-0228-494a-acb5-61cbca6e875b
SDY2107.SUB275616.PV11666	event	b6b37c26-57e0-473b-a89e-f5d8a4277a80
SDY2107.SUB275617.PV11666	event	49e092d2-5276-463f-93e6-14af9c090b65
SDY2107.SUB275618.PV11666	event	d45033b0-5c97-4d43-b6e7-91ed1be5ab36
SDY2107.SUB275619.PV11666	event	cc252e8e-d2a0-4d7c-b4a5-42dcd4bf4917
SDY2107.SUB275620.PV11666	event	2fa81812-2a48-4267-a2f2-34cde3f80999
BS1251975	event	9e5967bf-fe61-4f1e-9851-7b89766ce0b0
BS1251973	event	0fbccc8c-c69d-4f80-8f5c-85b37c87aa4a
BS1251972	event	bd74d456-f838-4297-bb4f-a2fad52e0b8d
BS1251971	event	d6b848ef-143b-4f0b-a4a7-25091d657f30
BS1251970	event	278692ca-a2f5-4dde-9036-b7bf5fc87e13
BS1251969	event	a318dfde-aaf2-4152-b912-d45903f91e84
BS1251968	event	fa039ec0-f60c-4ee3-9c90-42359fe2a6f0
BS1251949	event	01b7a4e3-188e-47e3-89e5-ead19556a035
BS1251950	event	a4bca82b-f268-43b4-80c5-27585c50983b
BS1251948	event	ae7e97cb-0a23-41b1-a17d-4cb377f39d6b
BS1251943	event	c9f1c8cc-5459-4442-bd84-704a21637e16
BS1251942	event	2918e1b6-3b3f-4c7f-93e9-057cf8d649c6
BS1251940	event	a35a98c7-7c5b-4109-839c-117906da8a0a
BS1251938	event	bd894846-6018-4ce9-9e5a-8620edc74d54
BS1251937	event	3f38756c-8125-4fbd-9b98-521093c8eb93
BS1251974	event	3dde70ec-140b-4cb4-a988-a2d9a97138c1
BS1251939	event	8045be4d-b218-42cd-8ea5-743d9255ffc5
BS1251933	event	fe5242cb-196c-4811-9b75-15051ce6431b
BS1251923	event	432b5a21-93ab-4e57-b573-b7e864ae3a5f
BS1251934	event	22321541-b321-4102-a8c3-e007e6869f41
BS1251922	event	9143d33e-7983-4c4c-bf4f-757a4196f3f2
BS1251920	event	a3aeb4dc-3401-47bc-951e-ba52c7b6a552
BS1251919	event	6591f8a4-4c4d-481c-8b97-ae115721305a
BS1251921	event	798cac20-ca2d-44cc-84fb-608c78bddf1b
BS1251935	event	1438ddb1-95a2-45a4-bea1-70d2f249bb4b
BS1251918	event	db195338-e191-418e-bf08-e4b2d3cfa32a
BS1251916	event	133e537e-4e3e-4ea6-9699-cb0f79adcb92
BS1251917	event	dccf4685-adfc-4f4e-ae3e-9831d116d90e
BS1251936	event	416d0b8d-fc2b-4dd7-a8f4-2e971f3a1bd2
BS1251946	event	e07841cc-217f-4ac4-b80a-040d7861de72
BS1251947	event	2621c109-0231-4482-b5ee-74d1efd17f75
BS1251944	event	0245a918-a142-4d91-9ab5-b50d5e803697
BS1251945	event	78432008-009a-460d-8fdc-40ee95d9e3a0
BS1251941	event	04125230-18dc-413f-857b-675d8ce696e0
BS1251908	event	ee80e1e5-dbd3-4f9c-b07b-bb68ee1f0ef2
BS1251909	event	b005d2b1-7320-4f59-9257-18466304c655
BS1251910	event	adf23179-27ca-4586-ae06-8d1d294e7d03
BS1251911	event	d215b822-9df2-4727-bbeb-8bf203a32aaf
BS1251912	event	1778ba7e-c3a2-4c73-8533-f7b1bd44e12d
BS1251913	event	72601aef-dcab-4886-aef4-9008dea47324
BS1251914	event	527dc60d-965a-448b-b90b-d5f7f142cda4
BS1251915	event	49f9478f-900d-4adc-b089-12315e359572
BS1251924	event	f3800b6f-7b67-4ab0-842e-a4ecfc6d1321
BS1251925	event	98056ea2-9ffe-45e0-8bbf-73bc87f1fca5
BS1251926	event	10b5ce77-0d49-4ab9-ae76-6b17788bffba
BS1251927	event	de81909b-bd9a-47bb-adb5-747341665e0a
BS1251928	event	e2d43b49-ad06-49a6-9f7b-741019d62ffc
BS1251929	event	7a1efac0-6c60-4c8f-99c4-4b2ef62ff713
BS1251930	event	95f3439f-3232-4e75-bd9e-f8a6abad12e1
BS1251931	event	a354a389-0d1d-48af-bc2d-6cd0b3145ecd
BS1251932	event	c8c3433a-8b75-4bc6-97a1-2b2140932b6a
BS1251951	event	579a9f21-6b13-40cd-9ffc-2e2fafe0a21a
BS1251952	event	9826c7db-c855-4b80-9c5d-9c647222df33
BS1251953	event	e1bd876a-650d-4cbb-b026-98d21b65aaaf
BS1251954	event	664ab525-f5db-443d-b1cc-f715d4b6446b
BS1251955	event	fdd5d52f-b011-43dd-bab5-3e5686c19a86
BS1251956	event	80a6f74b-a89f-4db3-9f57-12022ba178e2
BS1251957	event	171cbbd9-7375-4463-994d-beed4763780a
BS1251958	event	2860fd0c-b077-442a-af55-cba5b22abf79
BS1251959	event	6ee86e7e-63fa-4427-8745-ae499952adfa
BS1251960	event	efaa4675-5664-49b6-bc3d-91c2117b6a94
BS1251961	event	f0f48ed9-a065-470e-8f03-c243c9b10a7b
BS1251962	event	b98d7efb-9920-48a8-870c-009d56f57e69
BS1251963	event	4038a8e9-e6c7-4c6b-908c-eb03fe26750a
BS1251964	event	9252b6db-5a07-42a6-ad33-9bd9a05de86c
BS1251965	event	2d4e80e5-6a6c-4323-bf7e-65ab6fc93440
BS1251966	event	e88c072a-7986-4a47-93eb-1c359f8755de
BS1251967	event	7727c382-87a0-4527-a548-14b981766f36
BS1251908	specimen	5e331ee7-219e-47f8-8dd3-a85a8b6ea28b
BS1251909	specimen	e367ce96-4215-49a6-86f1-3af0fa6dee25
BS1251910	specimen	83f2a150-df26-4dd0-b724-c72ec1b76763
BS1251911	specimen	f934fecd-5a08-4544-b1ca-244ea691e1a5
BS1251912	specimen	ec965c31-d38e-40a7-86f8-697a3ce0365e
